,district,meter,built_year,price_per_meter,room,elevator,parking,storage,floor_en,total_floor,district_code
15871,اباذر,110,1394,49091000.0,2,1.0,1.0,1.0,2,5,11
15872,اباذر,84,1392,51190000.0,2,1.0,1.0,1.0,2,2,11
15873,اباذر,120,1385,42500000.0,3,1.0,1.0,1.0,1,5,11
15874,اباذر,140,1390,54643000.0,3,1.0,1.0,1.0,2,2,11
15875,اباذر,126,1392,47619000.0,2,1.0,1.0,1.0,4,5,11
15876,اباذر,105,1394,48571000.0,2,1.0,1.0,1.0,1,5,11
15877,اباذر,170,1388,52059000.0,3,1.0,1.0,1.0,3,3,11
15878,اباذر,127,1395,56535000.0,3,1.0,1.0,1.0,1,1,11
15879,اباذر,107,1400,64486000.0,2,1.0,1.0,1.0,2,9,11
15880,اباذر,126,1392,47619000.0,2,1.0,1.0,1.0,4,5,11
15883,اباذر,256,1388,47656000.0,5,1.0,1.0,1.0,1,1,11
15884,اباذر,112,1388,35714000.0,2,0.0,1.0,1.0,1,1,11
15885,اباذر,151,1390,37748000.0,3,0.0,1.0,1.0,2,2,11
15886,اباذر,88,1399,65000000.0,2,1.0,1.0,1.0,2,2,11
15887,اباذر,205,1389,51220000.0,3,1.0,1.0,1.0,4,4,11
15888,اباذر,80,1390,54000000.0,2,1.0,1.0,1.0,2,2,11
15889,اباذر,122,1400,70000000.0,3,1.0,1.0,1.0,1,6,11
15891,اباذر,68,1380,31912000.0,2,0.0,1.0,1.0,2,2,11
15892,اباذر,64,1390,40625000.0,1,1.0,1.0,1.0,3,3,11
15893,اباذر,85,1389,44706000.0,2,1.0,1.0,1.0,1,5,11
15895,اباذر,125,1390,49600000.0,3,1.0,1.0,1.0,3,3,11
15896,اباذر,65,1394,42308000.0,1,1.0,1.0,1.0,1,1,11
15897,اباذر,102,1391,57353000.0,2,1.0,1.0,1.0,4,5,11
15899,اباذر,117,1400,66667000.0,2,1.0,1.0,1.0,4,4,11
15900,اباذر,84,1391,50595000.0,2,1.0,1.0,1.0,5,5,11
15901,اباذر,94,1383,45213000.0,2,1.0,1.0,1.0,5,5,11
15902,اباذر,140,1390,46429000.0,3,1.0,1.0,1.0,1,1,11
15903,اباذر,120,1395,43333000.0,2,1.0,1.0,1.0,4,4,11
15904,اباذر,100,1385,51000000.0,3,1.0,1.0,1.0,0,0,11
15905,اباذر,104,1395,51923000.0,2,1.0,1.0,1.0,1,5,11
15906,اباذر,61,1392,54918000.0,1,1.0,1.0,1.0,4,4,11
15907,اباذر,55,1395,48182000.0,1,1.0,1.0,1.0,3,3,11
15908,اباذر,75,1390,52000000.0,2,1.0,1.0,1.0,1,1,11
15909,اباذر,79,1382,46392000.0,2,1.0,1.0,1.0,5,5,11
15910,اباذر,130,1397,65385000.0,3,1.0,1.0,1.0,3,3,11
15912,اباذر,97,1393,47938000.0,2,1.0,1.0,1.0,4,4,11
15913,اباذر,64,1388,43750000.0,2,1.0,1.0,1.0,5,5,11
15914,اباذر,99,1393,47222000.0,2,1.0,1.0,1.0,4,4,11
15916,اباذر,85,1391,55882000.0,2,1.0,1.0,1.0,3,3,11
15918,اباذر,104,1379,34615000.0,2,0.0,1.0,1.0,4,4,11
15919,اباذر,102,1395,58824000.0,2,1.0,1.0,1.0,5,5,11
15920,اباذر,82,1391,54207000.0,2,1.0,1.0,1.0,5,5,11
15921,اباذر,112,1400,59821000.0,2,1.0,1.0,1.0,3,3,11
15922,اباذر,88,1392,55114000.0,2,1.0,1.0,1.0,5,5,11
15923,اباذر,82,1383,42317000.0,2,1.0,1.0,1.0,4,4,11
15924,اباذر,76,1378,44737000.0,2,1.0,1.0,1.0,2,2,11
15925,اباذر,81,1393,53704000.0,2,1.0,1.0,1.0,2,2,11
15927,اباذر,57,1386,42105000.0,1,1.0,1.0,1.0,1,1,11
15928,اباذر,94,1400,55319000.0,2,1.0,1.0,1.0,4,5,11
